species,strain_1,strain_2
helicobacter_pylori,NC_017739,NC_021218
helicobacter_pylori,NC_021215,NZ_CP010013
helicobacter_pylori,NC_017368,NZ_CP010436
helicobacter_pylori,NC_018938,NC_021216
helicobacter_pylori,NC_012973,NC_017367
helicobacter_pylori,NC_012973,NC_021218
helicobacter_pylori,NC_017367,NZ_AP014710
helicobacter_pylori,NC_018938,NZ_CP006824
helicobacter_pylori,NC_017372,NZ_CP006824
helicobacter_pylori,NC_017362,NC_017382
helicobacter_pylori,NC_017355,NC_021216
helicobacter_pylori,NC_017063,NC_017926
helicobacter_pylori,NC_018938,NZ_CP011482
helicobacter_pylori,NC_014560,NZ_CP006826
helicobacter_pylori,NC_014555,NC_021218
helicobacter_pylori,NC_017372,NC_019563
helicobacter_pylori,NC_012973,NZ_CP011482
helicobacter_pylori,NC_014256,NC_017063
helicobacter_pylori,NC_017367,NZ_CP006820
helicobacter_pylori,NC_014560,NZ_CP006822
helicobacter_pylori,NC_017376,NZ_CP011485
helicobacter_pylori,NC_018937,NC_021216
helicobacter_pylori,NC_014560,NZ_AP014523
helicobacter_pylori,NC_021215,NC_021218
helicobacter_pylori,NZ_AP013354,NZ_CP010013
helicobacter_pylori,NC_017355,NZ_CP012907
helicobacter_pylori,NC_017354,NC_021215
helicobacter_pylori,NC_017739,NC_021882
helicobacter_pylori,NC_018938,NZ_AP013355
helicobacter_pylori,NC_017360,NZ_CP006826
helicobacter_pylori,NC_017379,NZ_CP006824
helicobacter_pylori,NC_021882,NZ_CP018823
helicobacter_pylori,NC_008086,NZ_CP006822
helicobacter_pylori,NC_014256,NC_017739
mycobacterium_tuberculosis,NC_016768,NZ_CP018778
mycobacterium_tuberculosis,NZ_AP014573,NZ_CP016794
mycobacterium_tuberculosis,NZ_CP013475,NZ_CP018302
mycobacterium_tuberculosis,NZ_CP002871,NZ_CP010337
mycobacterium_tuberculosis,NC_018078,NZ_CP007027
mycobacterium_tuberculosis,NC_016768,NC_020559
mycobacterium_tuberculosis,NZ_CP002883,NZ_CP011510
mycobacterium_tuberculosis,NZ_CP009100,NZ_CP010340
mycobacterium_tuberculosis,NZ_CP002871,NZ_CP010339
mycobacterium_tuberculosis,NC_021194,NZ_CP012090
mycobacterium_tuberculosis,NC_021740,NZ_CP018303
mycobacterium_tuberculosis,NC_018078,NZ_CP010339
mycobacterium_tuberculosis,NC_021251,NZ_CP018778
mycobacterium_tuberculosis,NC_002755,NC_020559
mycobacterium_tuberculosis,NC_000962,NZ_CP018300
mycobacterium_tuberculosis,NZ_CP010330,NZ_CP018304
mycobacterium_tuberculosis,NC_017524,NC_021251
mycobacterium_tuberculosis,NC_018078,NZ_CP018300
mycobacterium_tuberculosis,NC_021054,NC_021251
mycobacterium_tuberculosis,NC_009525,NZ_AP014573
mycobacterium_tuberculosis,NC_021194,NZ_CP018778
mycobacterium_tuberculosis,NC_017522,NZ_CP016972
mycobacterium_tuberculosis,NC_009565,NZ_CP010339
mycobacterium_tuberculosis,NC_021251,NZ_CP009426
mycobacterium_tuberculosis,NZ_CP010337,NZ_CP013475
mycobacterium_tuberculosis,NC_018078,NZ_CP016972
mycobacterium_tuberculosis,NC_009565,NZ_CP007803
mycobacterium_tuberculosis,NC_018143,NZ_CP002871
mycobacterium_tuberculosis,NZ_AP014573,NZ_CP010338
mycobacterium_tuberculosis,NZ_CP010337,NZ_CP018301
