escherichia_coli,klebsiella_pneumoniae,helicobacter_pylori,mycobacterium_tuberculosis,prochlorococcus_marinus
NC_010468,NZ_CP013711,,,
NZ_HF572917,NZ_CP018450,,,
NC_009800,NZ_CP016159,,,
NZ_CP018109,NZ_CP018701,,,
NZ_CP015834,NZ_CP018686,,,
NZ_LT601384,NC_011283,,,
NZ_CP014270,,,,
NZ_CP014641,,,,
NZ_CP012868,,,,
NC_017656,,,,
NZ_CP010152,,,,
NC_017634,,,,
NZ_CP012631,,,,
NZ_CP010172,,,,
NZ_CP008801,,,,
NZ_CP014268,,,,
NZ_CP010816,,,,
NZ_CP015229,,,,
NZ_CP016625,,,,
NC_017626,,,,
NZ_CP018979,,,,
NZ_HG738867,,,,
NZ_CP010167,,,,
NZ_CP010177,,,,
NZ_CP015020,,,,
NZ_CP018801,,,,
NZ_CP009859,,,,
NC_013361,,,,
NZ_CP010235,,,,
NZ_CP020092,,,,
NZ_CP009166,,,,
NC_012759,,,,
NZ_CP010206,,,,
NZ_CP018991,,,,
NC_017660,,,,
NZ_CP018247,,,,
NZ_CP020048,,,,
NZ_CP018970,,,,
NZ_CP020107,,,,
NC_007779,,,,
NZ_CP013112,,,,
NZ_CP012870,,,,
NZ_CP010134,,,,
NZ_CP010137,,,,
NC_013353,,,,
NC_018658,,,,
NZ_CP010186,,,,
NZ_CP010442,,,,
NZ_CP019903,,,,
NC_011748,,,,
NZ_CP019000,,,,
NZ_CP010170,,,,
NZ_CP018962,,,,
NZ_CP006632,,,,
NC_000913,,,,
NZ_CP010129,,,,
NC_017641,,,,
NC_017663,,,,
NZ_CP010240,,,,
NZ_CP017844,,,,
NZ_CP010226,,,,
NZ_CP014583,,,,
NZ_CP017446,,,,
NZ_CP015843,,,,
NZ_CP010304,,,,
NZ_CP011938,,,,
NZ_CP017434,,,,
NC_012971,,,,
NZ_CP020106,,,,
NC_020163,,,,
NZ_CP014667,,,,
NZ_CP011343,,,,
NC_018650,,,,
NZ_CP010176,,,,
NZ_CP007594,,,,
NZ_CP010122,,,,
NZ_CP014497,,,,
NZ_CP018995,,,,
NC_012892,,,,
NZ_CP010157,,,,
NZ_CP018243,,,,
NZ_CP010200,,,,
NZ_CP010236,,,,
NZ_CP018953,,,,
NZ_CP019020,,,,
NC_017652,,,,
NZ_CP018115,,,,
NZ_CP019005,,,,
NZ_CP018237,,,,
NZ_CP010371,,,,
NC_017628,,,,
NZ_CP013831,,,,
NZ_CP014348,,,,
NZ_CP008957,,,,
NZ_CP014670,,,,
NZ_CP016546,,,,
NZ_CP010143,,,,
NZ_CP007390,,,,
NZ_CP010237,,,,
NC_011741,,,,
NZ_CP018948,,,,
NZ_CP019008,,,,
NZ_LN832404,,,,
NZ_CP007133,,,,
NZ_CP006027,,,,
NZ_CP020116,,,,
NC_010498,,,,
NZ_CP014269,,,,
NZ_LT615378,,,,
NC_010473,,,,
NZ_CP007394,,,,
NZ_CP010145,,,,
NZ_CP015076,,,,
NZ_CP010231,,,,
NZ_CP013662,,,,
NZ_CP007149,,,,
NZ_CP011331,,,,
NZ_CP012126,,,,
NZ_CP010219,,,,
NZ_CP010242,,,,
NZ_CP012625,,,,
NZ_CP010116,,,,
NZ_CP012869,,,,
NZ_CP014522,,,,
NZ_CP007136,,,,
NZ_CP010439,,,,
NC_017651,,,,
NZ_LM993812,,,,
NZ_CP009104,,,,
NZ_LM995446,,,,
NC_004431,,,,
NZ_CP016497,,,,
NZ_CP018103,,,,
NC_008253,,,,
NZ_CP013835,,,,
NZ_CP010585,,,,
NZ_CP015912,,,,
NZ_CP008805,,,,
NZ_CP010438,,,,
NZ_CP010169,,,,
NZ_CP014316,,,,
NZ_CP017669,,,,
NC_007946,,,,
NZ_CP013663,,,,
NZ_CP015023,,,,
NZ_CP010160,,,,
NZ_CP014225,,,,
NC_012947,,,,
NZ_CP007392,,,,
NZ_CP012693,,,,
NZ_CP010344,,,,
NZ_CP017249,,,,
NC_022364,,,,
NZ_CP011018,,,,
NZ_CP013658,,,,
NZ_CP017444,,,,
NZ_CP013190,,,,
NC_017906,,,,
NZ_CP006262,,,,
NZ_CP007592,,,,
NZ_CP017251,,,,
NZ_CP018976,,,,
NZ_CP010163,,,,
NZ_CP013031,,,,
NZ_CP017440,,,,
NC_011601,,,,
NZ_CP017442,,,,
NZ_CP019629,,,,
NZ_CP010125,,,,
NC_016902,,,,
NZ_CP020055,,,,
NZ_CP010140,,,,
NZ_CP018983,,,,
NZ_CP012635,,,,
NC_012967,,,,
NZ_CP016018,,,,
NZ_CP010150,,,,
NZ_CP007391,,,,
NZ_CP016182,,,,
NZ_CP018239,,,,
NZ_CP015159,,,,
NZ_CP018965,,,,
NZ_CP013029,,,,
NZ_CP010229,,,,
NZ_CP010440,,,,
NC_020518,,,,
NZ_CP013025,,,,
NC_011750,,,,
NZ_CP015832,,,,
NZ_CP015069,,,,
NZ_CP016007,,,,
NC_013941,,,,
NZ_CP015842,,,,
NC_011415,,,,
NZ_CP007442,,,,
NZ_CP011124,,,,
NC_008563,,,,
NZ_CP010213,,,,
NZ_CP017100,,,,
NZ_CP010228,,,,
NC_009801,,,,
NZ_CP010443,,,,
NZ_CP010178,,,,
NZ_CP019777,,,,
